id,type,op,dataCount,nanoTime
43,TRIE,DELETE,100000,57743426
13,BINARY_SEARCH_TREE,INSERT,100000,90524526
20,BINARY_SEARCH_TREE,DELETE,100000,89375764
18,BINARY_SEARCH_TREE,DELETE,100000,78598388
17,BINARY_SEARCH_TREE,INSERT,100000,67570898
27,BINARY_SEARCH_TREE,DELETE,100000,61980968
14,BINARY_SEARCH_TREE,INSERT,100000,72449654
21,BINARY_SEARCH_TREE,DELETE,100000,58471194
30,TRIE,INSERT,100000,103446934
29,TRIE,INSERT,100000,86043591
46,TRIE,DELETE,100000,46897529
36,TRIE,INSERT,100000,74452598
41,TRIE,DELETE,100000,46078843
47,TRIE,DELETE,100000,51010079
9,BINARY_SEARCH_TREE,INSERT,100000,70097455
15,BINARY_SEARCH_TREE,INSERT,100000,72494319
45,TRIE,DELETE,100000,49450084
28,TRIE,INSERT,100000,80717415
33,TRIE,INSERT,100000,74494438
31,TRIE,INSERT,100000,76520557
26,BINARY_SEARCH_TREE,DELETE,100000,56600072
39,TRIE,DELETE,100000,39128754
10,BINARY_SEARCH_TREE,INSERT,100000,75711037
42,TRIE,DELETE,100000,47617310
37,TRIE,INSERT,100000,80456052
34,TRIE,INSERT,100000,78415317
32,TRIE,INSERT,100000,75246832
38,TRIE,DELETE,100000,44614874
19,BINARY_SEARCH_TREE,DELETE,100000,62674400
8,BINARY_SEARCH_TREE,INSERT,100000,64052963
11,BINARY_SEARCH_TREE,INSERT,100000,73485131
22,BINARY_SEARCH_TREE,DELETE,100000,60632144
44,TRIE,DELETE,100000,41648300
23,BINARY_SEARCH_TREE,DELETE,100000,61261275
12,BINARY_SEARCH_TREE,INSERT,100000,74288539
16,BINARY_SEARCH_TREE,INSERT,100000,67860515
40,TRIE,DELETE,100000,42841273
25,BINARY_SEARCH_TREE,DELETE,100000,61490276
24,BINARY_SEARCH_TREE,DELETE,100000,62114964
35,TRIE,INSERT,100000,80943869
